RegionName,StateName,SizeRank,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30
United St,,0,1537.677056672441,1546.3466942309635,1554.832920955596,1554.9474295988084,1553.217207792272,1552.9389238176143,1558.1103756137725,1559.524715979062,1557.039294660734,1554.0552053725814,1552.9597695360587,1555.3900913676216,1562.4243313522545,1573.8906885306333,1589.5957695560496,1610.163739646328,1637.1873423324016,1668.4728672916417,1701.8562190790567,1732.9728768749846,1758.416857866845,1774.570012835337,1785.3277146878902,1795.6380325748787,1807.0037210324729,1823.1883417915935,1839.9006300832505,1861.6068301263977,1883.5502898698887,1906.9578277051176,1926.659196955192,1938.9872603734211,1942.971024956604,1939.755988758051,1934.0003125860808,1931.2882889841776,1933.225714706512,1939.7919931451204,1950.7515562711424,1961.8903643504084,1974.673561626727,1984.265275269768,1994.6879169858653,2001.769101152005,2005.7284335155225,2004.533106493709,2000.3533858198537,1997.3939641592835,1999.8959567093589,2007.5469449322336,2018.3606847283847,2030.2490590721136,2042.4637516423188,2053.692920207443
New York,NY,1,2739.3689102563003,2753.611156037816,2763.9935381618266,2757.195244216615,2738.420860092302,2714.0551333213803,2687.9972243008983,,,2538.004069979402,2504.128902645117,2489.9762686290014,2487.770630020796,2501.58601487328,2524.603838373523,2554.7418025617544,2602.0247872809277,2660.098019524757,2725.925467442703,2789.1487276616526,2840.54847618917,2876.1692578971883,2899.406279210108,2919.519083545385,2943.724100333835,2978.388189495438,3020.250226548446,3065.348981726069,3120.644043586253,3178.923753909519,3232.739016175861,3263.0520017404565,3266.8626357365606,3248.795337901938,3219.3767087352594,3199.2846035092525,3196.0754332691045,3210.0606768508933,3237.142165507483,3272.23863880114,3311.8892389793727,3345.830240417798,3371.3479077726643,3381.816710838139,3381.7934728765263,3365.593175663681,3341.656749908717,3322.3331685314106,3325.328040130853,3343.128942611635,3376.0592128984317,3406.352569943992,3442.299155760254,3472.415449177508
Los Angeles,CA,2,2383.9843269763883,2388.659154217242,2388.698736164385,2375.6954933387783,2362.6368608771654,2354.950143479968,2356.254243646191,2356.671698779728,2356.4155778227014,2357.4399887388154,2359.451150683908,2359.7024074858964,2367.0262811189014,2376.5617724276294,2391.378108460631,2403.7930370799945,2425.120696388646,2460.166117538539,2508.433526487502,2563.563059574805,2606.4173794373664,2633.618005267923,2649.7193935254104,2667.5743964108424,2687.04009948095,2712.395220022558,2738.823648908794,2769.884504839307,2797.5819736554868,2821.9551613638864,2843.4412318227987,2858.328293254819,2864.7541512138614,2860.7146401115947,2853.4152872702552,2847.116343011262,2845.1668583123715,2850.701428613246,2863.471054810064,2877.1647594603146,2887.589774845492,2897.650239961907,2911.6827998157187,2925.8065139662185,2929.9666935016357,2927.456028838324,2913.000619683908,2903.9560112900845,2906.885602104945,2918.7346704604856,2935.5699175051163,2945.721034184001,2961.320732481909,2975.213293230831
Chicago,IL,3,1662.2248287092066,1674.19288616874,1689.7104003054417,1690.5553751707828,1688.883226201813,1684.73605515033,1683.466770722352,1677.2763330970445,1662.385788224663,1640.695692372263,1621.9479827850462,1613.4979290495824,1614.889504086906,1626.2214134385483,1643.7364003372852,1670.7671902606735,1698.705323999051,1725.688691812685,1746.171080064866,1760.350466338754,1768.2010078756714,1768.8091911998868,1768.9090142365503,1774.0450829490394,1786.7763445938042,1803.255985690516,1823.7366030026124,1847.6794939944643,1873.953009003432,1895.5159321108035,1913.7384135751272,1922.4803721253668,1924.306169327303,1921.6401345390943,1916.546274470264,1917.9112780634068,1925.0436346571023,1939.9239952685928,1957.5133653067817,1975.537705298552,1997.9479387183744,2017.1749378728848,2029.8888032276477,2036.7318971582672,2035.4752602887008,2028.844171958076,2021.4585980657212,2023.773775051828,2032.7463600890649,2046.25488208466,2059.1886842747945,2080.211094817333,2099.8454872221614,2118.487003327297
Dallas,TX,4,1405.3375331540326,1412.148007263968,1420.2844886510245,1420.43411702424,1419.011936779374,1419.8123647425027,1424.3031590305586,1429.0226182958663,1431.2729595452558,1434.4867517536509,1436.0163803640537,1439.9092866955111,1444.600431364357,1454.0598259829949,1465.0005705842034,1485.3298676571749,1512.110484717393,1547.5145672521571,1583.659835293149,1616.743025605785,1642.1847144994686,1657.750544563325,1670.8965800360418,1680.772470729999,1692.0635485964185,1703.9256517331487,1717.092587229781,1737.9007835679008,1761.7720047777598,1793.0290142050992,1814.6392848010216,1824.332813764982,1820.8823284028647,1808.841571684984,1799.0100049271175,1788.9643989969643,1788.5728095615225,1790.6070102358703,1800.214251347415,1804.8197496370756,1812.805517049829,1818.7779081210208,1828.0697576585903,1831.215567581832,1829.2535850533432,1821.7758569501643,1815.1487198793611,1806.4777350734817,1801.7783374945868,1797.7111171617876,1801.383652031756,1806.7463174303325,1815.2774335786892,1822.2881502456771
Houston,TX,5,1403.3123960389014,1410.2946754983288,1415.5331692058926,1411.943828228067,1404.3987398750533,1398.2708967988196,1402.545930619228,1407.8180529886704,1409.3784288124518,1411.6568479256869,1413.2577232488816,1414.003031057625,1415.705527870216,1416.082281322119,1423.7513576209476,1436.3085046095,1458.199696045314,1486.4337563420863,1512.9980681559332,1537.8801059181897,1552.089963074098,1560.3969755612552,1564.8721135162166,1568.9032646510786,1575.320926606454,1585.439706707485,1596.637116414689,1610.0463445768437,1622.1513344997916,1637.780600449004,1650.637956216464,1658.414710198111,1656.847187208592,1652.136051792519,1647.1931963850398,1645.6839086397829,1649.9402594137537,1657.011444931117,1668.5213584062249,1674.9036127388024,1685.1471179984153,1692.9638144369176,1700.2118387036658,1701.719567567675,1699.3237210898858,1695.5936283055894,1691.1732431051562,1690.516710115557,1692.044702084154,1696.352600502307,1700.5019446517836,1709.371362299208,1719.8707801783978,1730.042806582748
Washington,VA,6,2003.62024558742,2013.0655701504384,2022.5485354971397,2020.9635993586232,2017.8721597180613,2011.0363342156147,2009.4524924453356,2004.8499311628616,1990.909289717271,1972.9434734307251,1951.7079208620016,1940.496374539688,1941.8052951848413,1950.030331389995,1960.1952689589311,1976.0463161693383,2005.4308107705456,2044.935899521564,2084.1342567811816,2116.618389890552,2137.243486320641,2148.1578094989286,2148.751056683528,2148.4000815966706,2149.705323101434,2160.4911266090867,2178.772875107475,2203.342686268904,2230.3157718174352,2258.07395171818,2283.0191676317336,2296.364377499914,2297.578085364474,2284.2031078199752,2269.698825364672,2256.476371305416,2255.565650794533,2264.670339957921,2283.0367027978946,2301.1707604523453,2321.6131526467507,2339.067806065188,2355.821826738424,2366.667812181968,2372.8978555559297,2372.5188721707896,2368.5120797099225,2361.023780861899,2362.2962452266424,2373.6425257525893,2394.991295567432,2415.543800652036,2434.9962262183685,2455.084340294347
Philadelphia,PA,7,1497.5445832258351,1508.130046139841,1518.2791253184273,1521.6873060220316,1520.9340433443929,1521.1525645420263,1527.391239915084,1527.2764029383109,1526.576746162557,1526.234560491122,1528.8760436280866,1532.1627005898606,1535.8954322442426,1541.6572983224282,1550.0220699097044,1565.9955956038282,1588.414214814804,1610.4983340149713,1630.6471952011243,1648.7131525301093,1658.0770915782166,1668.6701776807652,1677.1568109723637,1694.6304357630702,1704.4665497071344,1716.1962577593897,1726.3774369302405,1741.395436528154,1756.3324005088882,1772.208587383553,1785.3098502361806,1791.6935646864324,1793.820826295912,1789.8804979759166,1788.3202962476985,1786.1300306099247,1789.6550035720516,1791.5852977561651,1799.8040953533418,1807.895520706209,1819.7993005581184,1825.326435109705,1833.480123341864,1841.6724006499785,1854.9586281652355,1862.552743413897,1864.7464355774312,1859.4860152365015,1857.9517541194275,1863.2014934285107,1871.93642838171,1880.7011194565328,1888.157141880251,1898.1226217085448
Miami,FL,8,1831.2537564873064,1834.8316935734013,1835.6458111334628,1829.4567081087691,1819.3810907280288,1817.6331330373423,1822.620793241824,1828.6071264342013,1834.040300487297,1848.1428669571003,1868.1780268557031,1885.6574339372628,1901.334835491146,1923.8011632520247,1952.4541090700816,1988.1904563390272,2029.364222873711,,,2219.4841309022054,2282.382934936842,2332.4032793200654,2380.1721549757963,2429.004858590968,2471.6059870193963,2508.264432271168,2548.0239140089143,2589.06166705033,2629.054476797713,2657.174614484421,2679.17485063354,2690.4351246113274,2700.381485452644,2706.249658356961,2714.975465299364,2720.4839874972627,2719.33602380138,2719.369877179453,2721.723706171972,2729.207432802329,2738.212701801465,2747.355222953406,2755.9093945417158,2763.937936461476,2773.420166480405,2786.18974800293,2793.101610222237,2787.690996724987,2782.6704605171967,2786.726922393984,2796.143902924294,2805.8090264072725,2807.4892340881997,2812.7914596821247
Atlanta,GA,9,1419.8762114952224,1429.0975207073247,1437.633265853513,1440.4805428201166,1443.0374449061446,1449.8763396162035,1465.475890455017,1479.1176482463245,1489.6425723225716,1496.5899381342992,1502.976029099564,1508.6192996467255,1520.135830824967,1537.0766305931509,1557.0245167084115,1581.1424207254604,1611.19267052413,1652.092200224199,1696.2678626421105,1741.3294123556775,1773.6544292544477,1794.2980325447152,1802.0950828478792,1806.60500467407,1811.471936620252,1818.676838897779,1831.2479106576216,1844.266609532738,1863.3448597879064,1885.907226812903,1911.4075850739628,1926.52462180344,1930.8184881811817,1922.805725480495,1912.7908312160475,1907.96977870684,1906.7262863734272,1912.63397425286,1920.797940448686,1928.191130879493,1933.269244492112,1932.7715214464797,1936.7047528592848,1938.6236408872664,1940.2201019491183,1931.3871050913888,1918.6182720765776,1909.6225068297936,1913.255448738518,1924.2683247541895,1930.5407157873872,1936.408701643253,1942.6374178586043,1950.56624872595
